State,Link
Alabama,https://www.nrel.gov/grid/assets/downloads/al-pv-2006.zip
Arkansas,https://www.nrel.gov/grid/assets/downloads/ar-pv-2006.zip
Connecticut,https://www.nrel.gov/grid/assets/downloads/ct-pv-2006.zip
Delaware,https://www.nrel.gov/grid/assets/downloads/de-pv-2006.zip
Florida,https://www.nrel.gov/grid/assets/downloads/fl-pv-2006.zip
Georgia,https://www.nrel.gov/grid/assets/downloads/ga-pv-2006.zip
Illinois,https://www.nrel.gov/grid/assets/downloads/il-pv-2006.zip
Indiana,https://www.nrel.gov/grid/assets/downloads/in-pv-2006.zip
Iowa,https://www.nrel.gov/grid/assets/downloads/ia-pv-2006.zip
Kansas,https://www.nrel.gov/grid/assets/downloads/ks-pv-2006.zip
Kentucky,https://www.nrel.gov/grid/assets/downloads/ky-pv-2006.zip
Louisiana,https://www.nrel.gov/grid/assets/downloads/me-pv-2006.zip
Maine,https://www.nrel.gov/grid/assets/downloads/me-pv-2006.zip
Maryland,https://www.nrel.gov/grid/assets/downloads/md-pv-2006.zip
Massachusetts,https://www.nrel.gov/grid/assets/downloads/ma-pv-2006.zip
Michigan,https://www.nrel.gov/grid/assets/downloads/mi-pv-2006.zip
Minnesota,https://www.nrel.gov/grid/assets/downloads/mn-pv-2006.zip
Mississippi,https://www.nrel.gov/grid/assets/downloads/ms-pv-2006.zip
Missouri,https://www.nrel.gov/grid/assets/downloads/mo-pv-2006.zip
Montana,https://www.nrel.gov/grid/assets/downloads/mt-east-pv-2006.zip
Nebraska,https://www.nrel.gov/grid/assets/downloads/ne-pv-2006.zip
New Hampshire,https://www.nrel.gov/grid/assets/downloads/nh-pv-2006.zip
New Jersey,https://www.nrel.gov/grid/assets/downloads/nj-pv-2006.zip
New Mexico,https://www.nrel.gov/grid/assets/downloads/nm-east-pv-2006.zip
New York,https://www.nrel.gov/grid/assets/downloads/ny-pv-2006.zip
North Carolina,https://www.nrel.gov/grid/assets/downloads/nc-pv-2006.zip
Ohio,https://www.nrel.gov/grid/assets/downloads/oh-pv-2006.zip
Oklahoma,https://www.nrel.gov/grid/assets/downloads/ok-pv-2006.zip
Pennsylvania,https://www.nrel.gov/grid/assets/downloads/pa-pv-2006.zip
Rhode Island,https://www.nrel.gov/grid/assets/downloads/ri-pv-2006.zip
South Carolina,https://www.nrel.gov/grid/assets/downloads/sc-pv-2006.zip
South Dakota,https://www.nrel.gov/grid/assets/downloads/sd-east-pv-2006.zip
Tennessee,https://www.nrel.gov/grid/assets/downloads/tn-pv-2006.zip
Texas,https://www.nrel.gov/grid/assets/downloads/tx-east-pv-2006.zip
Vermont,https://www.nrel.gov/grid/assets/downloads/vt-pv-2006.zip
Virginia,https://www.nrel.gov/grid/assets/downloads/va-pv-2006.zip
West Virginia,https://www.nrel.gov/grid/assets/downloads/wv-pv-2006.zip
Wisconsin,https://www.nrel.gov/grid/assets/downloads/wi-pv-2006.zip
