State,Link
Arizona,https://www.nrel.gov/grid/assets/downloads/az-pv-2006.zip
California,https://www.nrel.gov/grid/assets/downloads/ca-pv-2006.zip
Colorado,https://www.nrel.gov/grid/assets/downloads/co-pv-2006.zip
Idaho,https://www.nrel.gov/grid/assets/downloads/id-pv-2006.zip
Montana,https://www.nrel.gov/grid/assets/downloads/mt-pv-2006.zip
Nevada,https://www.nrel.gov/grid/assets/downloads/nv-pv-2006.zip
New Mexico,https://www.nrel.gov/grid/assets/downloads/nm-pv-2006.zip
Oregon,https://www.nrel.gov/grid/assets/downloads/or-pv-2006.zip
South Dakota,https://www.nrel.gov/grid/assets/downloads/sd-pv-2006.zip
Texas,https://www.nrel.gov/grid/assets/downloads/tx-pv-2006.zip
Utah,https://www.nrel.gov/grid/assets/downloads/ut-pv-2006.zip
Washington,https://www.nrel.gov/grid/assets/downloads/wa-pv-2006.zip
Wyoming,https://www.nrel.gov/grid/assets/downloads/wy-pv-2006.zip
